Date,Close
1/19/2016,41.92
1/20/2016,41.38
1/21/2016,41.39
1/22/2016,42.06
1/25/2016,42.16
1/26/2016,42.08
1/27/2016,42.09
1/28/2016,42.57
1/29/2016,42.92
2/1/2016,43
2/2/2016,42.44
2/3/2016,42.72
2/4/2016,42.53
2/5/2016,42.44
2/8/2016,42.65
2/9/2016,43.3
2/10/2016,42.55
2/11/2016,42.41
2/12/2016,43.11
2/16/2016,43.36
2/17/2016,43.49
2/18/2016,43.61
2/19/2016,43.77
2/22/2016,43.94
2/23/2016,43.69
2/24/2016,43.91
2/25/2016,44.16
2/26/2016,43.14
2/29/2016,43.13
3/1/2016,43.69
3/2/2016,43.77
3/3/2016,43.96
3/4/2016,44.11
3/7/2016,44.01
3/8/2016,44.32
3/9/2016,44.81
3/10/2016,45.23
3/11/2016,45.2
3/14/2016,45.29
3/15/2016,45.24
3/16/2016,45.05
3/17/2016,45.77
3/18/2016,45.6
3/21/2016,45.67
3/22/2016,45.5
3/23/2016,45.46
3/24/2016,45.58
3/28/2016,45.8
3/29/2016,46.48
3/30/2016,46.58
3/31/2016,46.39
4/1/2016,46.83
4/4/2016,46.89
4/5/2016,46.53
4/6/2016,46.71
4/7/2016,46.36
4/8/2016,46.87
4/11/2016,46.44
4/12/2016,46.65
4/13/2016,46.04
4/14/2016,45.83
4/15/2016,46.1
4/18/2016,46.22
4/19/2016,46.6
4/20/2016,44.37
4/21/2016,43.66
4/22/2016,44.54
4/25/2016,44.71
4/26/2016,44.53
4/27/2016,44.68
4/28/2016,44.63
4/29/2016,44.8
5/2/2016,44.98
5/3/2016,44.84
5/4/2016,44.98
5/5/2016,45.06
5/6/2016,45.32
5/9/2016,45.24
5/10/2016,45.75
5/11/2016,45.46
5/12/2016,45.83
5/13/2016,45.35
5/16/2016,45.62
5/17/2016,44.75
5/18/2016,44.48
5/19/2016,44.32
5/20/2016,43.95
5/23/2016,43.97
5/24/2016,44.37
5/25/2016,44.38
5/26/2016,44.69
5/27/2016,44.78
5/31/2016,44.6
6/1/2016,44.7
6/2/2016,44.72
6/3/2016,45.04
6/6/2016,45.37
6/7/2016,45.32
6/8/2016,45.55
6/9/2016,45.76
6/10/2016,45.99
6/13/2016,45.12
6/14/2016,45.04
6/15/2016,45.01
6/16/2016,45.31
6/17/2016,44.79
6/20/2016,44.98
6/21/2016,45.13
6/22/2016,44.86
6/23/2016,45.08
6/24/2016,43.93
6/27/2016,43.78
6/28/2016,44.18
6/29/2016,44.44
6/30/2016,45.33
7/1/2016,45.12
7/5/2016,45.43
7/6/2016,45.27
7/7/2016,45.09
7/8/2016,45.38
7/11/2016,45.57
7/12/2016,45.58
7/13/2016,45.74
7/14/2016,45.69
7/15/2016,45.63
7/18/2016,45.63
7/19/2016,45.63
7/20/2016,45.51
7/21/2016,45.45
7/22/2016,45.83
7/25/2016,45.57
7/26/2016,44.88
7/27/2016,43.4
7/28/2016,43.65
7/29/2016,43.63
8/1/2016,43.45
8/2/2016,43.53
8/3/2016,43.64
8/4/2016,43.51
8/5/2016,43.48
8/8/2016,43.44
8/9/2016,43.47
8/10/2016,43.61
8/11/2016,43.75
8/12/2016,44.03
8/15/2016,44.24
8/16/2016,43.83
8/17/2016,44.06
8/18/2016,44.1
8/19/2016,43.92
8/22/2016,43.74
8/23/2016,43.85
8/24/2016,43.85
8/25/2016,43.67
8/26/2016,43.32
8/29/2016,43.54
8/30/2016,43.24
8/31/2016,43.43
9/1/2016,43.35
9/2/2016,43.66
9/6/2016,43.79
9/7/2016,43.64
9/8/2016,43.63
9/9/2016,42.27
9/12/2016,43.19
9/13/2016,42.28
9/14/2016,42.11
9/15/2016,42.36
9/16/2016,42.14
9/19/2016,42.1
9/20/2016,42.34
9/21/2016,42.53
9/22/2016,42.96
9/23/2016,42.74
9/26/2016,42.05
9/27/2016,42.59
9/28/2016,42.15
9/29/2016,42.03
9/30/2016,42.32
10/3/2016,42.03
10/4/2016,41.84
10/5/2016,41.81
10/6/2016,41.71
10/7/2016,41.73
10/10/2016,41.73
10/11/2016,41.54
10/12/2016,41.78
10/13/2016,41.76
10/14/2016,41.67
10/17/2016,41.6
10/18/2016,41.97
10/19/2016,42.05
10/20/2016,41.93
10/21/2016,42.13
10/24/2016,42.56
10/25/2016,42.54
10/26/2016,42.44
10/27/2016,42.12
10/28/2016,42.23
10/31/2016,42.4
11/1/2016,42.12
11/2/2016,42.05
11/3/2016,42.03
11/4/2016,41.69
11/7/2016,42.46
11/8/2016,42.88
11/9/2016,42.27
11/10/2016,40.94
11/11/2016,41.03
11/14/2016,41.17
11/15/2016,41.44
11/16/2016,41.26
11/17/2016,41.12
11/18/2016,40.91
11/21/2016,41.36
11/22/2016,41.37
11/23/2016,41.12
11/25/2016,41.53
11/28/2016,41.75
11/29/2016,41.15
11/30/2016,40.35
12/1/2016,40.17
12/2/2016,40.36
12/5/2016,40.62
12/6/2016,40.57
12/7/2016,41.29
12/8/2016,40.98
12/9/2016,42
12/12/2016,41.9
12/13/2016,41.76
12/14/2016,41.21
12/15/2016,41.55
12/16/2016,41.74
12/19/2016,41.67
12/20/2016,41.66
12/21/2016,41.57
12/22/2016,41.55
12/23/2016,41.6
12/27/2016,41.61
12/28/2016,41.39
12/29/2016,41.6
12/30/2016,41.46
1/3/2017,41.8
1/4/2017,41.65
1/5/2017,41.75
1/6/2017,41.74
1/9/2017,41.32
1/10/2017,41.04
1/11/2017,41.05
1/12/2017,40.95
1/13/2017,40.88
1/17/2017,41.22
1/18/2017,41.29
1/19/2017,41.14
1/20/2017,41.32
1/23/2017,41.43
1/24/2017,41.9
1/25/2017,42.12
1/26/2017,41.81
1/27/2017,41.45
1/30/2017,41.38
1/31/2017,41.57
2/1/2017,41.26
2/2/2017,41.4
2/3/2017,41.54
2/6/2017,41.56
2/7/2017,41.9
2/8/2017,42.02
2/9/2017,41.25
2/10/2017,40.58
2/13/2017,40.62
2/14/2017,40.53
2/15/2017,40.44
2/16/2017,41.2
2/17/2017,41.23
2/21/2017,41.46
2/22/2017,41.6
2/23/2017,41.66
2/24/2017,41.78
2/27/2017,41.67
2/28/2017,41.96
3/1/2017,42.16
3/2/2017,42.47
3/3/2017,42.48
3/6/2017,42.18
3/7/2017,41.99
3/8/2017,41.99
3/9/2017,42.03
3/10/2017,42.29
3/13/2017,42.03
3/14/2017,41.97
3/15/2017,42.12
3/16/2017,42.25
3/17/2017,42.03
3/20/2017,42.18
3/21/2017,42.5
3/22/2017,42.38
3/23/2017,42.17
3/24/2017,42.12
3/27/2017,42.32
3/28/2017,42.43
3/29/2017,42.42
3/30/2017,42.6
3/31/2017,42.44
4/3/2017,42.41
4/4/2017,42.68
4/5/2017,42.57
4/6/2017,42.67
4/7/2017,42.61
4/10/2017,42.69
4/11/2017,42.66
4/12/2017,42.94
4/13/2017,42.79
4/17/2017,43.07
4/18/2017,43.48
4/19/2017,43.23
4/20/2017,43.09
4/21/2017,43.07
4/24/2017,43.28
4/25/2017,43.11
4/26/2017,43.24
4/27/2017,43.01
4/28/2017,43.15
5/1/2017,43.22
5/2/2017,43.39
5/3/2017,43.32
5/4/2017,43.66
5/5/2017,43.69
5/8/2017,43.89
5/9/2017,43.51
5/10/2017,43.57
5/11/2017,43.67
5/12/2017,43.59
5/15/2017,43.73
5/16/2017,43.85
5/17/2017,43.93
5/18/2017,43.8
5/19/2017,43.9
5/22/2017,44.18
5/23/2017,44.39
5/24/2017,45.03
5/25/2017,45.41
5/26/2017,45.39
5/30/2017,45.43
5/31/2017,45.47
6/1/2017,45.79
6/2/2017,45.89
6/5/2017,45.99
6/6/2017,45.98
6/7/2017,45.51
6/8/2017,45.13
6/9/2017,45.32
6/12/2017,45.33
6/13/2017,45.03
6/14/2017,45.3
6/15/2017,45.25
6/16/2017,45.31
6/19/2017,45.38
6/20/2017,45.61
6/21/2017,45.22
6/22/2017,45.07
6/23/2017,45.25
6/26/2017,45.43
6/27/2017,45.05
6/28/2017,45.32
6/29/2017,44.83
6/30/2017,44.85
7/3/2017,44.76
7/5/2017,44.82
7/6/2017,44.4
7/7/2017,44.39
7/10/2017,44.38
7/11/2017,44.33
7/12/2017,44.51
7/13/2017,44.43
7/14/2017,44.68
7/17/2017,44.73
7/18/2017,44.67
7/19/2017,44.83
7/20/2017,44.82
7/21/2017,45.03
7/24/2017,44.84
7/25/2017,45.24
7/26/2017,45.74
7/27/2017,46.12
7/28/2017,46.01
7/31/2017,45.84
8/1/2017,45.7
8/2/2017,45.59
8/3/2017,45.67
8/4/2017,45.5
8/7/2017,45.64
8/8/2017,45.6
8/9/2017,45.59
8/10/2017,45.74
8/11/2017,45.59
8/14/2017,45.8
8/15/2017,46.19
8/16/2017,46.2
8/17/2017,45.86
8/18/2017,45.67
8/21/2017,45.68
8/22/2017,45.6
8/23/2017,45.54
8/24/2017,45.41
8/25/2017,45.57
8/28/2017,45.42
8/29/2017,45.45
8/30/2017,45.39
8/31/2017,45.55
9/1/2017,45.78
9/5/2017,45.92
9/6/2017,45.96
9/7/2017,46.28
9/8/2017,46.3
9/11/2017,46.52
9/12/2017,46.72
9/13/2017,46.87
9/14/2017,46.11
9/15/2017,46.18
9/18/2017,46.11
9/19/2017,45.98
9/20/2017,45.78
9/21/2017,45.4
9/22/2017,45.49
9/25/2017,45.69
9/26/2017,45.57
9/27/2017,44.64
9/28/2017,44.91
9/29/2017,45.01
10/2/2017,44.8
10/3/2017,45.19
10/4/2017,45.5
10/5/2017,45.52
10/6/2017,45.49
10/9/2017,45.41
10/10/2017,45.87
10/11/2017,46.1
10/12/2017,46.11
10/13/2017,46.18
10/16/2017,46.62
10/17/2017,46.52
10/18/2017,46.4
10/19/2017,46.59
10/20/2017,46.38
10/23/2017,46.32
10/24/2017,46.18
10/25/2017,46.05
10/26/2017,46.23
10/27/2017,46.07
10/30/2017,45.86
10/31/2017,45.98
11/1/2017,45.8
11/2/2017,45.88
11/3/2017,45.97
11/6/2017,45.47
11/7/2017,45.94
11/8/2017,46.18
11/9/2017,46.23
11/10/2017,46.54
11/13/2017,46.72
11/14/2017,47.43
11/15/2017,46.81
11/16/2017,46.55
11/17/2017,45.71
11/20/2017,45.46
11/21/2017,45.78
11/22/2017,45.84
11/24/2017,45.88
11/27/2017,45.9
11/28/2017,45.83
11/29/2017,45.5
11/30/2017,45.77
12/1/2017,45.97
12/4/2017,46.23
12/5/2017,46.26
12/6/2017,46.45
12/7/2017,45.78
12/8/2017,45.31
12/11/2017,45.33
12/12/2017,45.29
12/13/2017,45.9
12/14/2017,46.03
12/15/2017,46.19
12/18/2017,45.93
12/19/2017,46.13
12/20/2017,46.08
12/21/2017,45.6
12/22/2017,45.59
12/26/2017,45.81
12/27/2017,45.93
12/28/2017,45.72
12/29/2017,45.88
1/2/2018,45.54
1/3/2018,45.44
1/4/2018,46.08
1/5/2018,46.07
1/8/2018,46
1/9/2018,46.23
1/10/2018,46.07
1/11/2018,46.04
1/12/2018,46.15
1/16/2018,46.53
1/17/2018,46.82
1/18/2018,46.88
1/19/2018,47.16
1/22/2018,47.38
1/23/2018,47.45
1/24/2018,47.83
1/25/2018,47.84
1/26/2018,48.53
1/29/2018,47.7
1/30/2018,47.41
1/31/2018,47.59
2/1/2018,47.45
2/2/2018,46.73
2/5/2018,44.89
2/6/2018,44.67
2/7/2018,44.56
2/8/2018,43.1
2/9/2018,43.13
2/12/2018,43.97
2/13/2018,44.19
2/14/2018,44.1
2/15/2018,44.78
2/16/2018,44.98
2/20/2018,43.99
2/21/2018,43.34
2/22/2018,43.52
2/23/2018,44.04
2/26/2018,44.03
2/27/2018,43.62
2/28/2018,43.22
3/1/2018,43.43
3/2/2018,43.72
3/5/2018,43.89
3/6/2018,43.93
3/7/2018,43.82
3/8/2018,44.45
3/9/2018,44.82
3/12/2018,44.53
3/13/2018,44.57
3/14/2018,43.78
3/15/2018,43.67
3/16/2018,43.46
3/19/2018,43.26
3/20/2018,43.16
3/21/2018,43
3/22/2018,42.76
3/23/2018,42.33
3/26/2018,42.69
3/27/2018,42.89
3/28/2018,43.32
3/29/2018,43.43
4/2/2018,42.67
4/3/2018,43.38
4/4/2018,44.24
4/5/2018,44.4
4/6/2018,43.92
4/9/2018,43.83
4/10/2018,43.99
4/11/2018,43.99
4/12/2018,44.03
4/13/2018,44.51
4/16/2018,44.68
4/17/2018,44.88
4/18/2018,44.51
4/19/2018,44.31
4/20/2018,43.74
4/23/2018,43.98
4/24/2018,43.07
4/25/2018,42.43
4/26/2018,42.75
4/27/2018,43.31
4/30/2018,43.21
5/1/2018,42.59
5/2/2018,42.06
5/3/2018,41.89
5/4/2018,42.36
5/7/2018,42.14
5/8/2018,41.81
5/9/2018,41.78
5/10/2018,42.18
5/11/2018,42.14
5/14/2018,42.04
5/15/2018,41.72
5/16/2018,41.55
5/17/2018,42.3
5/18/2018,42.3
5/21/2018,42.41
5/22/2018,42.25
5/23/2018,42.4
5/24/2018,42.32
5/25/2018,42.4
5/29/2018,42.68
5/30/2018,43.13
5/31/2018,43
6/1/2018,43.12
6/4/2018,43.49
6/5/2018,43.11
6/6/2018,43.46
6/7/2018,43.44
6/8/2018,43.95
6/11/2018,44.13
6/12/2018,44.41
6/13/2018,44.18
6/14/2018,43.58
6/15/2018,44.12
6/18/2018,43.55
6/19/2018,43.6
6/20/2018,43.26
6/21/2018,43.09
6/22/2018,43.25
6/25/2018,43.58
6/26/2018,43.33
6/27/2018,43.07
6/28/2018,43.47
6/29/2018,43.86
7/2/2018,43.75
7/3/2018,43.99
7/5/2018,44.66
7/6/2018,44.64
7/9/2018,44.4
7/10/2018,44.97
7/11/2018,44.79
7/12/2018,44.67
7/13/2018,44.74
7/16/2018,44.73
7/17/2018,45.25
7/18/2018,45.12
7/19/2018,45.11
7/20/2018,45.28
7/23/2018,44.95
7/24/2018,45.26
7/25/2018,46.09
7/26/2018,46.24
7/27/2018,46.21
7/30/2018,46.23
7/31/2018,46.63
8/1/2018,46.39
8/2/2018,46.18
8/3/2018,46.62
8/6/2018,46.65
8/7/2018,46.5
8/8/2018,46.15
8/9/2018,46.35
8/10/2018,46.08
8/13/2018,45.83
8/14/2018,45.89
8/15/2018,46.08
8/16/2018,46.22
8/17/2018,46.6
8/20/2018,46.73
8/21/2018,46.22
8/22/2018,45.93
8/23/2018,45.7
8/24/2018,45.63
8/27/2018,45.69
8/28/2018,45.37
8/29/2018,45.33
8/30/2018,44.95
8/31/2018,44.57
9/4/2018,44.76
9/5/2018,45.38
9/6/2018,45.77
9/7/2018,45.72
9/10/2018,46.06
9/11/2018,46.02
9/12/2018,46.24
9/13/2018,45.83
9/14/2018,45.99
9/17/2018,46.32
9/18/2018,45.93
9/19/2018,45.96
9/20/2018,46.64
9/21/2018,46.58
9/24/2018,46.07
9/25/2018,45.68
9/26/2018,45.85
9/27/2018,46.01
9/28/2018,46.19
10/1/2018,46.23
10/2/2018,46.51
10/3/2018,45.87
10/4/2018,45.85
10/5/2018,45.88
10/8/2018,46.48
10/9/2018,46.39
10/10/2018,45.68
10/11/2018,44.64
10/12/2018,44.68
10/15/2018,44.91
10/16/2018,45.49
10/17/2018,45.86
10/18/2018,45.61
10/19/2018,46.33
10/22/2018,45.97
10/23/2018,46.36
10/24/2018,46.73
10/25/2018,46.51
10/26/2018,45.92
10/29/2018,46.46
10/30/2018,47.63
10/31/2018,47.88
11/1/2018,47.74
11/2/2018,48
11/5/2018,48.69
11/6/2018,49.11
11/7/2018,49.37
11/8/2018,49.33
11/9/2018,49.68
11/12/2018,49.87
11/13/2018,49.86
11/14/2018,49.76
11/15/2018,49.74
11/16/2018,50.17
11/19/2018,50.51
11/20/2018,49.38
11/21/2018,48.73
11/23/2018,49.02
11/26/2018,48.87
11/27/2018,49.37
11/28/2018,49.71
11/29/2018,48.98
11/30/2018,50.4
12/3/2018,49.69
12/4/2018,49.58
12/6/2018,49.38
12/7/2018,49.09
12/10/2018,49.24
12/11/2018,49.54
12/12/2018,49.22
12/13/2018,49.47
12/14/2018,49.34
12/17/2018,48.33
12/18/2018,48.32
12/19/2018,47.9
12/20/2018,47.54
12/21/2018,47.57
12/24/2018,45.96
12/26/2018,46.94
12/27/2018,47.53
12/28/2018,47.2
12/31/2018,47.35
1/2/2019,46.93
1/3/2019,46.64
1/4/2019,47.57
1/7/2019,46.95
1/8/2019,47.48
1/9/2019,46.57
1/10/2019,47.07
1/11/2019,47.34
1/14/2019,47.15
1/15/2019,47.57
1/16/2019,46.92
1/17/2019,47.06
1/18/2019,47.61
1/22/2019,47.72
1/23/2019,48.27
1/24/2019,47.69
1/25/2019,47.37
1/28/2019,47.17
1/29/2019,47.4
1/30/2019,47.86
1/31/2019,48.13
2/1/2019,48.7
2/4/2019,49.25
2/5/2019,49.26
2/6/2019,49.26
2/7/2019,49.42
2/8/2019,49.5
2/11/2019,49.61
2/12/2019,49.66
2/13/2019,49.79
2/14/2019,45.59
2/15/2019,45.24
2/19/2019,44.83
2/20/2019,45.1
2/21/2019,45.86
2/22/2019,45.28
2/25/2019,44.94
2/26/2019,44.69
2/27/2019,44.94
2/28/2019,45.34
3/1/2019,45.38
3/4/2019,45.65
3/5/2019,45.6
3/6/2019,45.45
3/7/2019,45.28
3/8/2019,44.84
3/11/2019,46.18
3/12/2019,46.05
3/13/2019,46.22
3/14/2019,45.7
3/15/2019,45.3
3/18/2019,45.41
3/19/2019,45.56
3/20/2019,45.53
3/21/2019,45.51
3/22/2019,45.93
3/25/2019,46.03
3/26/2019,46.64
3/27/2019,46.61
3/28/2019,46.58
3/29/2019,46.86
4/1/2019,46.72
4/2/2019,46.57
4/3/2019,46.18
4/4/2019,46.48
4/5/2019,46.47
4/8/2019,46.55
4/9/2019,46.67
4/10/2019,46.64
4/11/2019,46.71
4/12/2019,46.74
4/15/2019,47
4/16/2019,46.95
4/17/2019,47.28
4/18/2019,47.48
4/22/2019,47.4
4/23/2019,48.21
4/24/2019,47.98
4/25/2019,47.84
4/26/2019,48.26
4/29/2019,48.42
4/30/2019,49.06
5/1/2019,48.59
5/2/2019,48.39
5/3/2019,48.72
5/6/2019,48.47
5/7/2019,48
5/8/2019,47.85
5/9/2019,47.4
5/10/2019,48.19
5/13/2019,48.05
5/14/2019,48.69
5/15/2019,49.18
5/16/2019,49.58
5/17/2019,49.2
5/20/2019,48.85
5/21/2019,48.6
5/22/2019,49.65
5/23/2019,49.85
5/24/2019,49.61
5/28/2019,49.1
5/29/2019,48.61
5/30/2019,49.25
5/31/2019,49.13
6/3/2019,49.98
6/4/2019,50
6/5/2019,50.78
6/6/2019,51.4
6/7/2019,51.49
6/10/2019,51.38
6/11/2019,51.33
6/12/2019,51.64
6/13/2019,51.13
6/14/2019,51.31
6/17/2019,50.87
6/18/2019,50.64
6/19/2019,51.12
6/20/2019,51.66
6/21/2019,51.55
6/24/2019,51.92
6/25/2019,51.76
6/26/2019,51.12
6/27/2019,51.08
6/28/2019,50.92
7/1/2019,51.6
7/2/2019,51.98
7/3/2019,52.1
7/5/2019,52.11
7/8/2019,52
7/9/2019,51.59
7/10/2019,51.82
7/11/2019,52.04
7/12/2019,52.12
7/15/2019,52.13
7/16/2019,52.14
7/17/2019,52.18
7/18/2019,52.03
7/19/2019,51.39
7/22/2019,51.22
7/23/2019,54.33
7/24/2019,53.78
7/25/2019,53.07
7/26/2019,54.17
7/29/2019,53.99
7/30/2019,53.72
7/31/2019,52.63
8/1/2019,52.03
8/2/2019,52.33
8/5/2019,51.65
8/6/2019,52.27
8/7/2019,53.18
8/8/2019,53.69
8/9/2019,53.42
8/12/2019,53.2
8/13/2019,53.5
8/14/2019,52.99
8/15/2019,53.87
8/16/2019,54.41
8/19/2019,54.69
8/20/2019,53.88
8/21/2019,54.1
8/22/2019,54.49
8/23/2019,53.74
8/26/2019,54.54
8/27/2019,54.72
8/28/2019,55.11
8/29/2019,55.05
8/30/2019,55.04
9/3/2019,55.3
9/4/2019,55.77
9/5/2019,55.12
9/6/2019,55.23
9/9/2019,54.52
9/10/2019,54.4
9/11/2019,54.77
9/12/2019,55.11
9/13/2019,54.26
9/16/2019,53.96
9/17/2019,54.24
9/18/2019,54.23
9/19/2019,54.52
9/20/2019,53.91
9/23/2019,54.14
9/24/2019,54.3
9/25/2019,54.17
9/26/2019,54.39
9/27/2019,54.31
9/30/2019,54.44
10/1/2019,54.65
10/2/2019,53.08
10/3/2019,53.84
10/4/2019,54.54
10/7/2019,53.87
10/8/2019,53.58
10/9/2019,53.83
10/10/2019,53.66
10/11/2019,53.3
10/14/2019,53.3
10/15/2019,53.51
10/16/2019,53.49
10/17/2019,53.79
10/18/2019,54.78
10/21/2019,54.23
10/22/2019,53.85
10/23/2019,54.64
10/24/2019,54.61
10/25/2019,53.75
10/28/2019,53.57
10/29/2019,53.41
10/30/2019,53.94
10/31/2019,54.43
11/1/2019,53.9
11/4/2019,53.14
11/5/2019,52.42
11/6/2019,52.8
11/7/2019,52.29
11/8/2019,52.21
11/11/2019,51.84
11/12/2019,51.71
11/13/2019,52.41
11/14/2019,52.63
11/15/2019,52.67
11/18/2019,53.03
11/19/2019,53.08
11/20/2019,53.22
11/21/2019,52.96
11/22/2019,53.03
11/25/2019,53.22
11/26/2019,53.9
11/27/2019,53.95
11/29/2019,53.4
12/2/2019,53.75
12/3/2019,53.8
12/4/2019,54.29
12/5/2019,54.19
12/6/2019,54.42
12/9/2019,54.07
12/10/2019,53.77
12/11/2019,53.95
12/12/2019,54.14
12/13/2019,54.42
12/16/2019,54.42
12/17/2019,54.42
12/18/2019,53.91
12/19/2019,54.32
12/20/2019,54.97
12/23/2019,54.91
12/24/2019,54.71
12/26/2019,55.02
12/27/2019,55.35
12/30/2019,55.27
12/31/2019,55.35
1/2/2020,54.99
1/3/2020,54.69
1/6/2020,54.67
1/7/2020,54.25
1/8/2020,54.35
1/9/2020,55.34
1/10/2020,55.53
1/13/2020,56.13
1/14/2020,56
1/15/2020,56.7
1/16/2020,56.82
1/17/2020,56.94
1/21/2020,57.17
1/22/2020,57.61
1/23/2020,57.83
1/24/2020,57.68
1/27/2020,57.48
1/28/2020,57.01
1/29/2020,57.01
1/30/2020,58.86
1/31/2020,58.4
2/3/2020,58.58
2/4/2020,58.84
2/5/2020,58.85
2/6/2020,58.99
2/7/2020,59.19
2/10/2020,59.75
2/11/2020,59.59
2/12/2020,59.41
2/13/2020,59.61
2/14/2020,59.95
2/18/2020,59.53
2/19/2020,59.77
2/20/2020,59.72
2/21/2020,60.13
2/24/2020,58.65
2/25/2020,57.82
2/26/2020,57.6
2/27/2020,54.93
2/28/2020,53.49
3/2/2020,55.92
3/3/2020,56.06
3/4/2020,58.92
3/5/2020,56.74
3/6/2020,55.26
3/9/2020,51.86
3/10/2020,53.66
3/11/2020,52.21
3/12/2020,47.16
3/13/2020,48.47
3/16/2020,45.26
3/17/2020,47.18
3/18/2020,44.85
3/19/2020,41.83
3/20/2020,38.3
3/23/2020,37.56
3/24/2020,39.45
3/25/2020,41.61
3/26/2020,44.29
3/27/2020,42.81
3/30/2020,45
3/31/2020,44.25
4/1/2020,42.12
4/2/2020,43.95
4/3/2020,43.83
4/6/2020,46.67
4/7/2020,46.51
4/8/2020,47.82
4/9/2020,49
4/13/2020,46.93
4/14/2020,48.92
4/15/2020,47.61
4/16/2020,47.1
4/17/2020,48.06
4/20/2020,46.53
4/21/2020,45.38
4/22/2020,45.68
4/23/2020,45.07
4/24/2020,45.43
4/27/2020,46.78
4/28/2020,46.74
4/29/2020,47.12
4/30/2020,45.89
5/1/2020,45.6
5/4/2020,45.14
5/5/2020,45.4
5/6/2020,44.75
5/7/2020,44.6
5/8/2020,46.11
5/11/2020,45.54
5/12/2020,44.82
5/13/2020,43.94
5/14/2020,43.7
5/15/2020,43.26
5/18/2020,44.97
5/19/2020,44.54
5/20/2020,45.89
5/21/2020,45.17
5/22/2020,45.03
5/26/2020,46.09
5/27/2020,46.73
5/28/2020,47.09
5/29/2020,46.68
6/1/2020,46.99
6/2/2020,46.9
6/3/2020,47.9
6/4/2020,47.92
6/5/2020,49.09
6/8/2020,49.85
6/9/2020,49
6/10/2020,48.62
6/11/2020,45.54
6/12/2020,45.6
6/15/2020,46.3
6/16/2020,46.77
6/17/2020,46.58
6/18/2020,46.99
6/19/2020,46.02
6/22/2020,45.74
6/23/2020,45.64
6/24/2020,44.65
6/25/2020,44.93
6/26/2020,43.57
6/29/2020,44.36
6/30/2020,44.68
7/1/2020,44.82
7/2/2020,44.88
7/6/2020,45.23
7/7/2020,45.21
7/8/2020,45.07
7/9/2020,43.91
7/10/2020,45.15
7/13/2020,45.25
7/14/2020,45.87
7/15/2020,46.4
7/16/2020,46.15
7/17/2020,46.82
7/20/2020,46.12
7/21/2020,47.2
7/22/2020,48.48
7/23/2020,48.28
7/24/2020,48.49
7/27/2020,48.48
